Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input C
13091.69112244898,122.16753514285715,145.22117529931973,128.42307336734694,145.40816326530611
13237.058775510204,122.57280658892128,145.72191580174928,128.84159650145773,145.91836734693877
13382.426428571429,122.9777593367347,146.22949250000002,129.26610596938775,146.42857142857142
13527.794081632654,123.37570382312926,146.7338194829932,129.69246263945578,146.9387755102041
13673.161734693878,123.77980768950438,147.23284023323617,130.11825936588923,147.44897959183675
13818.529387755103,124.1866822857143,147.7363685442177,130.55358816326532,147.9591836734694
13963.897040816328,124.59185604227406,148.24463964285715,130.98041276239067,148.46938775510205
14109.264693877552,124.99680879008747,148.74376466472302,131.41579408163267,148.9795918367347
14254.632346938775,125.40377057142858,149.24752546938777,131.8518970408163,149.48979591836732
14400.0,125.82,149.75,132.28,150.0
