Time (s),Unnamed: 0,T_min (C),T_max (C),T_ave (C),Thermal_Input_C
12225.15306122449,83.8415306122449,258.2912030612245,399.07841530612245,298.1993448979592,400.0
12370.142857142857,84.86095238095238,260.54601904761904,399.0972190476191,299.8264,400.0
12515.132653061224,85.82755102040817,262.7650918367347,399.1082755102041,301.43373469387757,400.0
12660.122448979591,86.79414965986395,264.9468367346939,399.12588299319725,303.01446394557826,400.0
12805.112244897959,87.76074829931973,267.0988612244898,399.1376074829932,304.5671972789116,400.0
12950.102040816328,88.72734693877551,269.2083428571429,399.1545469387755,306.09193469387753,400.0
13095.091836734695,89.6939455782313,271.25728571428573,399.1669394557823,307.5817367346939,400.0
13240.081632653062,90.66054421768708,273.2739319727891,399.18321088435374,309.0474217687075,400.0
13385.07142857143,91.62714285714286,275.25937142857146,399.19627142857144,310.48817142857143,400.0
13530.061224489797,92.89061224489797,277.22232653061224,399.208906122449,311.903893877551,400.0
13675.051020408164,93.89367346938776,279.14841020408164,399.2189367346939,313.2968897959184,400.0
13820.040816326531,94.86027210884355,281.0375306122449,399.22860272108846,314.6629836734694,400.0
13965.030612244898,95.82687074829933,282.9058605442177,399.246537414966,316.00935034013605,400.0
14110.020408163266,96.79346938775511,284.74759183673467,399.25793469387753,317.3370530612245,400.0
14255.010204081633,97.76006802721089,286.5613272108844,399.2676006802721,318.64609183673474,400.0
14400.0,99.0,288.35,399.28,319.94,400.0
